,category,predicted
57,bonding,0
58,enjoy_the_moment,7
59,affection,3
60,affection,3
61,achievement,5
62,achievement,5
73,enjoy_the_moment,3
74,achievement,3
105,affection,7
123,affection,7
125,bonding,3
174,bonding,3
175,affection,3
185,affection,7
204,affection,0
205,achievement,1
206,achievement,1
207,achievement,1
208,achievement,1
209,achievement,1
218,achievement,3
219,achievement,3
220,affection,0
221,affection,3
249,bonding,3
253,affection,3
266,enjoy_the_moment,0
287,bonding,3
288,bonding,3
299,leisure,1
300,enjoy_the_moment,5
301,bonding,3
302,enjoy_the_moment,0
303,nature,3
304,enjoy_the_moment,3
325,affection,7
326,affection,3
327,affection,3
328,affection,7
331,affection,3
333,achievement,3
336,achievement,0
337,affection,7
343,affection,0
345,affection,3
358,nature,7
582,enjoy_the_moment,7
583,affection,3
597,bonding,0
609,enjoy_the_moment,0
654,affection,1
681,affection,0
718,exercise,0
719,affection,3
720,affection,5
727,bonding,0
767,achievement,7
772,leisure,3
776,affection,3
802,affection,3
804,affection,3
836,affection,3
945,bonding,0
971,enjoy_the_moment,7
977,achievement,3
1128,affection,3
1189,affection,0
1203,affection,3
1204,enjoy_the_moment,0
1250,achievement,3
1251,affection,3
1252,affection,3
1266,affection,3
1418,affection,3
1449,affection,3
1458,affection,7
1468,enjoy_the_moment,3
1469,achievement,3
1470,bonding,3
1511,affection,3
1524,achievement,7
1569,exercise,3
1598,affection,1
1600,affection,5
1601,affection,4
1602,bonding,6
1603,affection,2
1604,achievement,4
1605,bonding,6
1606,nature,3
1608,achievement,5
1609,affection,4
1611,enjoy_the_moment,1
1612,enjoy_the_moment,1
1613,affection,1
1617,bonding,6
1618,affection,4
1620,affection,2
1621,achievement,4
1625,affection,2
1638,achievement,3
1666,bonding,0
1667,affection,5
1669,leisure,1
1673,leisure,7
1697,achievement,3
1698,bonding,3
1699,achievement,7
1700,affection,7
1701,bonding,3
1703,affection,7
1715,nature,3
1716,achievement,7
1718,affection,7
1719,bonding,7
1721,affection,0
1722,achievement,7
1723,achievement,3
1725,bonding,3
1726,affection,3
1727,affection,7
1728,affection,3
1780,affection,7
1790,enjoy_the_moment,3
1799,affection,7
1808,affection,7
1809,affection,3
1817,affection,7
1841,enjoy_the_moment,3
1850,enjoy_the_moment,3
1864,achievement,3
1868,enjoy_the_moment,3
1870,affection,3
1871,affection,5
1873,affection,3
1874,bonding,3
1882,affection,3
1936,achievement,3
1937,affection,7
1938,achievement,3
1949,achievement,3
1950,bonding,3
1951,bonding,3
1952,bonding,3
1953,affection,3
1954,affection,3
1967,bonding,0
1973,enjoy_the_moment,1
1974,affection,7
1976,achievement,3
1977,achievement,3
1978,bonding,5
1982,affection,3
2051,affection,3
2052,bonding,3
2053,affection,3
2111,bonding,0
2116,affection,3
2122,enjoy_the_moment,7
2129,affection,3
2130,affection,5
2133,achievement,0
2161,affection,4
2162,achievement,5
2163,affection,5
2164,affection,5
2165,affection,5
2177,enjoy_the_moment,1
2178,affection,5
2179,affection,5
2180,achievement,5
2181,enjoy_the_moment,5
2182,bonding,3
2188,achievement,5
2189,achievement,5
2194,affection,3
2195,enjoy_the_moment,1
2196,enjoy_the_moment,7
2197,enjoy_the_moment,5
2198,enjoy_the_moment,7
2230,achievement,7
2253,affection,0
2271,affection,3
2276,bonding,3
2278,exercise,3
2282,affection,0
2292,achievement,3
2312,affection,3
2314,affection,3
2353,affection,3
2358,affection,5
2372,affection,3
2375,affection,1
2378,enjoy_the_moment,1
2379,affection,1
2382,achievement,4
2383,bonding,6
2384,bonding,6
2385,affection,4
2392,affection,4
2406,affection,3
2408,bonding,5
2421,affection,7
2430,achievement,7
2449,achievement,3
2467,achievement,7
2469,affection,3
2480,enjoy_the_moment,7
2485,affection,3
2503,enjoy_the_moment,0
2504,enjoy_the_moment,3
2505,enjoy_the_moment,3
2507,achievement,3
2508,achievement,3
2529,affection,7
2538,affection,3
2548,affection,7
2681,affection,3
2723,achievement,0
2737,affection,5
2745,bonding,7
2750,affection,0
2761,affection,0
2811,achievement,3
2840,affection,3
2880,leisure,3
2891,affection,7
2896,achievement,3
2938,achievement,1
2946,affection,5
2947,enjoy_the_moment,3
3109,affection,3
3140,enjoy_the_moment,7
3145,affection,3
3147,affection,5
3160,achievement,3
3161,bonding,7
3185,affection,3
3218,achievement,7
3220,achievement,7
3224,affection,5
3227,affection,5
3228,affection,2
3230,affection,7
3250,achievement,3
3258,affection,5
3259,enjoy_the_moment,7
3260,achievement,7
3288,achievement,7
3301,affection,3
3302,bonding,3
3303,affection,7
3304,affection,3
3305,affection,7
3348,leisure,3
3414,affection,3
3420,affection,3
3438,affection,1
3443,bonding,6
3445,affection,4
3446,affection,5
3448,affection,5
3450,nature,3
3452,affection,5
3453,achievement,5
3454,affection,4
3458,enjoy_the_moment,1
3461,affection,5
3463,bonding,6
3464,achievement,4
3465,bonding,6
3466,achievement,5
3467,nature,3
3468,affection,4
3469,bonding,6
3470,affection,2
3471,affection,5
3472,affection,4
3489,bonding,0
3490,leisure,1
3491,leisure,1
3493,leisure,1
3494,bonding,0
3497,leisure,1
3501,enjoy_the_moment,1
3503,achievement,4
3504,bonding,6
3505,affection,5
3506,bonding,6
3507,bonding,6
3508,affection,4
3509,affection,2
3510,nature,3
3511,affection,2
3512,affection,4
3514,affection,2
3515,bonding,6
3516,affection,4
3536,nature,7
3545,affection,3
3584,affection,3
3587,affection,3
3588,affection,3
3590,affection,7
3591,achievement,7
3640,achievement,3
3666,achievement,3
3667,affection,3
3719,achievement,3
3733,achievement,7
3739,enjoy_the_moment,3
3758,enjoy_the_moment,7
3768,achievement,1
3769,affection,0
3796,affection,3
3815,nature,0
3826,bonding,3
3839,bonding,3
3882,affection,3
3894,bonding,3
3961,achievement,3
3963,affection,3
3964,affection,3
3968,leisure,3
3978,affection,3
3979,affection,3
3983,bonding,3
3984,affection,0
4005,affection,1
4024,achievement,7
4046,achievement,3
4128,bonding,3
4140,affection,3
4152,bonding,3
4163,enjoy_the_moment,3
4177,affection,0
4178,enjoy_the_moment,0
4179,nature,3
4180,achievement,3
4185,affection,3
4194,achievement,7
4225,bonding,3
4227,enjoy_the_moment,7
4228,leisure,3
4293,enjoy_the_moment,3
4306,bonding,7
4339,enjoy_the_moment,1
4345,affection,3
4363,affection,3
4369,bonding,0
4379,affection,7
4437,affection,5
4452,affection,3
4463,enjoy_the_moment,0
4466,affection,5
4481,affection,5
4488,bonding,3
4518,achievement,3
4528,affection,3
4559,affection,3
4570,affection,0
4571,affection,0
4573,affection,3
4574,affection,3
4607,bonding,0
4612,achievement,7
4613,bonding,3
4614,affection,0
4615,enjoy_the_moment,3
4624,affection,5
4652,affection,0
4665,enjoy_the_moment,3
4687,affection,7
4696,bonding,3
4707,affection,3
4748,affection,7
4762,affection,3
4791,affection,3
4792,achievement,3
4812,affection,5
4831,achievement,0
4832,exercise,3
4841,affection,0
4844,leisure,3
4913,affection,3
4919,affection,1
4934,affection,7
4955,nature,3
4964,achievement,5
4966,affection,0
4992,enjoy_the_moment,1
4996,affection,0
4999,enjoy_the_moment,3
5001,affection,0
5002,affection,3
5067,enjoy_the_moment,3
5077,affection,7
5084,enjoy_the_moment,7
5088,bonding,0
5090,affection,3
5092,bonding,0
5109,affection,7
5114,bonding,5
5141,achievement,3
5147,enjoy_the_moment,3
5159,bonding,5
5169,enjoy_the_moment,0
5181,achievement,3
5182,affection,3
5183,enjoy_the_moment,3
5185,bonding,7
5213,achievement,0
5238,affection,3
5239,enjoy_the_moment,3
5248,achievement,7
5268,achievement,3
5315,achievement,3
5320,affection,5
5339,affection,3
5390,affection,3
5391,exercise,7
5401,affection,3
5404,affection,0
5413,affection,3
5439,affection,5
5448,achievement,0
5449,enjoy_the_moment,0
5467,achievement,7
5472,bonding,3
5495,bonding,3
5499,achievement,3
5507,achievement,0
5526,affection,3
5531,affection,7
5542,achievement,0
5556,achievement,7
5587,enjoy_the_moment,7
5641,achievement,7
5642,enjoy_the_moment,3
5682,bonding,7
5728,achievement,7
5747,affection,5
5793,enjoy_the_moment,1
5802,affection,7
5827,affection,3
5843,leisure,1
5849,enjoy_the_moment,1
5857,bonding,7
5858,affection,3
5862,achievement,3
5870,achievement,3
5892,achievement,3
5903,bonding,6
5914,achievement,7
5917,enjoy_the_moment,1
5918,affection,1
5928,enjoy_the_moment,7
5930,affection,7
5959,bonding,6
5960,achievement,4
5962,affection,7
5965,enjoy_the_moment,7
5966,enjoy_the_moment,7
5967,enjoy_the_moment,5
5971,achievement,6
5983,affection,5
5993,affection,3
6038,achievement,3
6041,achievement,7
6213,affection,0
6254,enjoy_the_moment,3
6260,affection,3
6262,bonding,3
6270,enjoy_the_moment,7
6273,achievement,7
6276,achievement,3
6288,affection,1
6299,affection,3
6326,achievement,0
6327,leisure,7
6341,bonding,7
6344,bonding,3
6349,enjoy_the_moment,7
6371,achievement,7
6372,achievement,7
6385,affection,3
6397,affection,3
6404,affection,5
6405,enjoy_the_moment,3
6446,achievement,7
6449,bonding,0
6454,affection,3
6455,affection,3
6458,achievement,3
6460,affection,0
6461,leisure,0
6462,enjoy_the_moment,7
6469,affection,0
6471,bonding,3
6481,achievement,3
6491,nature,7
6492,enjoy_the_moment,3
6497,leisure,7
6506,bonding,3
6509,affection,3
6517,enjoy_the_moment,0
6523,bonding,3
6530,bonding,3
6533,achievement,7
6541,achievement,0
6552,affection,1
6580,enjoy_the_moment,0
6582,affection,3
6595,affection,3
6596,affection,5
6620,affection,3
6628,affection,3
6643,nature,3
6656,enjoy_the_moment,3
6665,enjoy_the_moment,3
6669,achievement,0
6674,achievement,0
6684,affection,3
6686,leisure,7
6691,enjoy_the_moment,0
6705,affection,3
6706,affection,5
6715,affection,3
6722,affection,7
6726,affection,0
6727,bonding,5
6728,achievement,3
6729,enjoy_the_moment,3
6731,achievement,3
6743,nature,3
6754,affection,5
6755,bonding,3
6762,bonding,3
6770,bonding,3
6787,achievement,7
6788,achievement,7
6789,achievement,7
6797,bonding,3
