,category,predicted
74,30-39,3
105,30-39,3
204,40-49,8
266,20-29,1
333,60-69,3
343,30-39,3
345,30-39,3
358,40-49,3
582,20-29,1
583,20-29,3
597,30-39,3
609,40-49,2
654,20-29,5
681,30-39,8
718,30-39,10
719,30-39,3
720,30-39,6
727,20-29,9
767,20-29,3
772,30-39,3
776,30-39,6
802,40-49,8
804,40-49,8
971,30-39,7
977,30-39,3
1128,30-39,3
1189,30-39,3
1203,20-29,12
1204,20-29,3
1250,30-39,4
1251,30-39,12
1252,30-39,3
1266,30-39,2
1418,20-29,3
1449,20-29,2
1458,70-79,3
1468,30-39,8
1469,30-39,3
1470,30-39,6
1511,30-39,3
1638,20-29,4
1666,30-39,3
1667,30-39,6
1715,20-29,2
1716,20-29,3
1982,30-39,3
2051,40-49,12
2052,20-29,12
2053,20-29,12
2116,20-29,3
2129,40-49,3
2130,40-49,3
2230,30-39,3
2253,40-49,8
2276,20-29,9
2278,40-49,3
2282,30-39,3
2292,30-39,12
2314,40-49,3
2353,20-29,3
2358,30-39,6
2430,30-39,3
2449,50-59,3
2469,30-39,6
2485,30-39,8
2507,20-29,12
2508,20-29,3
2529,40-49,3
2538,50-59,12
2548,40-49,3
2681,20-29,3
2723,20-29,10
2737,50-59,3
2745,20-29,1
2750,50-59,2
2761,30-39,3
2840,20-29,3
2880,20-29,8
2891,40-49,12
2896,40-49,3
2938,30-39,0
2946,50-59,6
2947,50-59,3
3140,40-49,3
3145,30-39,3
3185,20-29,8
3250,50-59,1
3301,40-49,3
3302,40-49,1
3414,40-49,3
3420,40-49,3
3640,20-29,3
3667,40-49,1
3719,20-29,3
3739,30-39,3
3769,20-29,3
3796,40-49,3
3815,40-49,3
3839,20-29,1
3882,30-39,3
3894,30-39,3
3961,20-29,3
3963,30-39,6
3964,30-39,3
3968,40-49,3
3978,50-59,3
3979,50-59,3
3983,20-29,12
3984,20-29,10
4005,20-29,11
4024,20-29,2
4046,20-29,1
4140,60-69,3
4163,50-59,3
4177,20-29,3
4178,20-29,2
4179,20-29,3
4180,20-29,3
4185,20-29,3
4194,30-39,3
4227,30-39,3
4228,30-39,12
4293,20-29,3
4306,30-39,3
4339,40-49,7
4345,20-29,3
4363,30-39,3
4369,40-49,9
4379,30-39,3
4463,30-39,10
4518,20-29,3
4528,20-29,3
4559,20-29,3
4570,40-49,6
4571,40-49,10
4573,60-69,12
4574,60-69,12
4607,30-39,8
4612,70-79,3
4613,70-79,8
4614,70-79,3
4615,70-79,8
4624,40-49,6
4652,30-39,3
4665,40-49,1
4687,20-29,10
4696,20-29,3
4707,30-39,3
4748,80-89,10
4762,20-29,12
4792,30-39,3
4831,40-49,3
4832,40-49,9
4841,20-29,6
4844,30-39,3
4913,30-39,3
4919,20-29,5
4955,20-29,12
4992,30-39,7
4996,30-39,6
5001,30-39,8
5002,30-39,3
5067,30-39,3
5077,30-39,10
5084,60-69,3
5088,40-49,9
5090,20-29,3
5092,20-29,3
5109,30-39,6
5114,20-29,7
5141,30-39,2
5147,30-39,3
5159,30-39,0
5169,10-19,3
5181,60-69,10
5213,30-39,3
5238,20-29,3
5239,40-49,3
5248,30-39,3
5268,20-29,2
5339,40-49,3
5390,30-39,8
5391,30-39,3
5401,20-29,3
5404,20-29,3
5413,20-29,3
5439,40-49,6
5448,20-29,3
5449,30-39,3
5467,60-69,3
5472,60-69,3
5495,20-29,12
5499,20-29,3
5507,20-29,3
5526,30-39,3
5531,30-39,7
5542,20-29,3
5556,30-39,3
5587,20-29,11
5641,20-29,3
5642,20-29,11
5747,20-29,6
5793,30-39,0
5802,40-49,3
5843,30-39,0
5849,30-39,0
5857,40-49,6
5858,40-49,3
5862,30-39,10
5870,20-29,3
5892,30-39,3
5914,30-39,3
5917,20-29,7
5918,20-29,5
5983,50-59,6
5993,20-29,12
6213,30-39,6
6270,40-49,7
6276,20-29,3
6288,20-29,5
6299,30-39,3
6326,20-29,3
6327,50-59,1
6341,30-39,6
6344,70-79,3
6349,50-59,3
6371,30-39,3
6372,20-29,3
6385,20-29,12
6397,40-49,3
6404,40-49,6
6405,40-49,3
6446,20-29,12
6449,20-29,3
6454,20-29,12
6455,30-39,10
6458,30-39,3
6460,30-39,3
6461,20-29,1
6462,50-59,12
6469,40-49,2
6471,30-39,11
6481,20-29,3
6491,20-29,3
6492,20-29,3
6497,30-39,3
6509,20-29,10
6517,20-29,3
6523,50-59,12
6530,20-29,12
6533,30-39,3
6552,20-29,11
6580,10-19,3
6582,30-39,3
6595,30-39,8
6596,30-39,6
6620,40-49,3
6628,30-39,6
6643,30-39,12
6656,20-29,2
6665,30-39,12
6669,30-39,10
6674,30-39,10
6686,20-29,3
6691,30-39,3
6705,20-29,3
6706,20-29,3
6715,50-59,12
6722,40-49,3
6726,20-29,6
6727,30-39,6
6731,30-39,2
6743,30-39,3
6787,60-69,4
6788,60-69,4
6789,60-69,4
